unique_id,ds,y,Chronos
107,2019-01-25 00:00:00,214,184.76187
107,2019-01-25 01:00:00,94,118.21257
107,2019-01-25 02:00:00,63,70.051895
107,2019-01-25 03:00:00,40,42.03114
107,2019-01-25 04:00:00,40,36.77725
107,2019-01-25 05:00:00,66,80.55968
107,2019-01-25 06:00:00,193,211.90698
107,2019-01-25 07:00:00,382,379.15588
107,2019-01-25 08:00:00,391,388.78802
107,2019-01-25 09:00:00,368,358.14032
107,2019-01-25 10:00:00,287,317.86047
107,2019-01-25 11:00:00,243,273.20236
107,2019-01-25 12:00:00,232,243.43033
107,2019-01-25 13:00:00,260,270.57544
107,2019-01-25 14:00:00,321,303.8501
107,2019-01-25 15:00:00,302,316.98483
107,2019-01-25 16:00:00,270,260.06766
107,2019-01-25 17:00:00,410,346.75687
107,2019-01-25 18:00:00,484,471.97464
107,2019-01-25 19:00:00,505,430.81915
107,2019-01-25 20:00:00,461,380.90717
107,2019-01-25 21:00:00,469,412.43054
107,2019-01-25 22:00:00,426,467.5964
107,2019-01-25 23:00:00,493,424.68958
107,2019-01-26 00:00:00,381,306.47702
107,2019-01-26 01:00:00,258,225.04172
107,2019-01-26 02:00:00,191,170.7515
107,2019-01-26 03:00:00,151,131.3473
107,2019-01-26 04:00:00,93,80.55968
107,2019-01-26 05:00:00,43,50.78763
107,2019-01-26 06:00:00,74,70.051895
107,2019-01-26 07:00:00,114,105.95349
107,2019-01-26 08:00:00,175,172.50278
107,2019-01-26 09:00:00,256,227.66866
107,2019-01-26 10:00:00,304,275.82935
107,2019-01-26 11:00:00,354,292.46667
107,2019-01-26 12:00:00,319,286.33713
107,2019-01-26 13:00:00,320,288.0884
107,2019-01-26 14:00:00,321,294.21796
107,2019-01-26 15:00:00,305,305.60138
107,2019-01-26 16:00:00,301,297.72052
107,2019-01-26 17:00:00,359,323.99
107,2019-01-26 18:00:00,402,385.2854
107,2019-01-26 19:00:00,379,426.4409
107,2019-01-26 20:00:00,331,364.26984
107,2019-01-26 21:00:00,359,357.26465
107,2019-01-26 22:00:00,412,421.187
107,2019-01-26 23:00:00,481,441.3269
107,2019-01-27 00:00:00,432,373.02637
107,2019-01-27 01:00:00,332,266.1972
107,2019-01-27 02:00:00,264,197.8966
107,2019-01-27 03:00:00,163,155.86546
107,2019-01-27 04:00:00,107,102.4509
107,2019-01-27 05:00:00,59,43.782436
107,2019-01-27 06:00:00,68,49.036327
107,2019-01-27 07:00:00,80,80.55968
107,2019-01-27 08:00:00,127,119.08822
107,2019-01-27 09:00:00,157,173.37843
107,2019-01-27 10:00:00,273,245.18161
107,2019-01-27 11:00:00,301,274.95367
107,2019-01-27 12:00:00,299,279.3319
107,2019-01-27 13:00:00,263,282.83453
107,2019-01-27 14:00:00,301,284.58582
107,2019-01-27 15:00:00,285,274.078
107,2019-01-27 16:00:00,225,267.06244
107,2019-01-27 17:00:00,262,291.01822
107,2019-01-27 18:00:00,234,311.425
107,2019-01-27 19:00:00,213,285.69473
107,2019-01-27 20:00:00,198,253.75368
107,2019-01-27 21:00:00,192,220.92542
107,2019-01-27 22:00:00,170,173.01389
107,2019-01-27 23:00:00,105,118.89159
107,2019-01-28 00:00:00,45,55.896793
107,2019-01-28 01:00:00,27,38.15178
107,2019-01-28 02:00:00,24,18.632267
107,2019-01-28 03:00:00,21,15.083264
107,2019-01-28 04:00:00,13,35.49003
107,2019-01-28 05:00:00,77,67.43105
107,2019-01-28 06:00:00,179,197.8569
107,2019-01-28 07:00:00,352,355.78754
107,2019-01-28 08:00:00,386,371.758
107,2019-01-28 09:00:00,321,320.2975
107,2019-01-28 10:00:00,245,243.99393
107,2019-01-28 11:00:00,220,212.05292
107,2019-01-28 12:00:00,226,220.03818
107,2019-01-28 13:00:00,218,232.45969
